timestamp, index, name, driver_version, utilization.gpu [%], memory.total [MiB], memory.used [MiB], power.draw [W], temperature.gpu, clocks.current.graphics [MHz], clocks.current.sm [MHz], clocks.current.memory [MHz]
2025/10/05 19:59:06.719, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.16 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 19:59:06.769, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.16 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 19:59:06.819, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.16 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 19:59:06.869, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.16 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 19:59:06.919, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.16 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 19:59:06.969, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.16 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 19:59:07.020, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.16 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 19:59:07.070, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.16 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 19:59:07.120, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.43 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 19:59:07.170, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.43 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 19:59:07.220, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.43 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 19:59:07.270, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.43 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 19:59:07.320, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.43 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 19:59:07.371, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.43 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 19:59:07.421, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.43 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
