timestamp, index, name, driver_version, utilization.gpu [%], memory.total [MiB], memory.used [MiB], power.draw [W], temperature.gpu, clocks.current.graphics [MHz], clocks.current.sm [MHz], clocks.current.memory [MHz]
2025/10/05 20:31:15.024, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.76 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:15.074, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.76 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:15.124, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.72 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:15.174, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.72 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:15.225, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.72 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:15.275, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.72 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:15.325, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.72 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:15.375, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.72 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:15.425, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.72 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:15.475, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.72 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:15.526, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.72 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:15.576, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.72 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:15.626, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.72 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:15.676, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.72 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:15.726, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.72 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:15.776, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.72 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:15.826, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.72 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:15.877, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.72 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:15.927, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.72 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:15.977, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.72 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:16.027, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.72 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:16.077, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.72 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:16.127, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.38 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:16.178, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.38 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:16.228, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.38 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:16.278, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.38 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:16.328, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.38 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:16.378, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.38 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:16.428, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.38 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
