timestamp,index,name,driver_version,utilization.gpu[],memory.total[],memory.used[],power.draw[],temperature.gpu,clocks.current.graphics[],clocks.current.sm[],clocks.current.memory[]
2025/10/0520:31:13.118,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22682,54.14,45,2535,2535,10251
2025/10/0520:31:13.168,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22682,54.14,45,2535,2535,10251
2025/10/0520:31:13.218,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22682,53.34,45,2535,2535,10251
2025/10/0520:31:13.268,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22682,53.34,45,2535,2535,10251
2025/10/0520:31:13.318,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22682,53.34,45,2535,2535,10251
2025/10/0520:31:13.368,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22682,53.34,45,2535,2535,10251
2025/10/0520:31:13.419,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22682,53.34,45,2535,2535,10251
2025/10/0520:31:13.469,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22682,53.34,45,2535,2535,10251
2025/10/0520:31:13.519,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22682,53.34,45,2535,2535,10251
2025/10/0520:31:13.569,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22682,53.34,45,2535,2535,10251
2025/10/0520:31:13.619,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22682,53.34,45,2535,2535,10251
2025/10/0520:31:13.669,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22682,53.34,45,2535,2535,10251
2025/10/0520:31:13.720,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22682,53.33,45,2535,2535,10251
2025/10/0520:31:13.770,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22682,53.33,45,2535,2535,10251
2025/10/0520:31:13.820,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22682,53.36,45,2535,2535,10251
2025/10/0520:31:13.870,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22682,53.36,45,2535,2535,10251
2025/10/0520:31:13.920,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22682,53.40,45,2535,2535,10251
2025/10/0520:31:13.971,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22682,53.40,45,2535,2535,10251
2025/10/0520:31:14.021,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22682,53.44,45,2535,2535,10251
2025/10/0520:31:14.071,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22682,53.44,45,2535,2535,10251
2025/10/0520:31:14.121,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22682,53.47,45,2535,2535,10251
2025/10/0520:31:14.171,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22682,53.47,45,2535,2535,10251
2025/10/0520:31:14.221,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22682,53.49,45,2535,2535,10251
2025/10/0520:31:14.272,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22682,53.49,45,2535,2535,10251
2025/10/0520:31:14.322,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22682,53.71,45,2535,2535,10251
2025/10/0520:31:14.372,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22682,53.71,45,2535,2535,10251
2025/10/0520:31:14.422,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22682,53.71,45,2535,2535,10251
2025/10/0520:31:14.472,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22682,53.71,45,2535,2535,10251
2025/10/0520:31:14.522,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22682,53.71,45,2535,2535,10251
2025/10/0520:31:14.573,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22682,53.71,45,2535,2535,10251
2025/10/0520:31:14.623,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22682,53.70,45,2535,2535,10251
2025/10/0520:31:14.673,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22682,53.70,45,2535,2535,10251
2025/10/0520:31:14.723,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22682,53.84,45,2535,2535,10251
2025/10/0520:31:14.773,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22682,53.84,45,2535,2535,10251
2025/10/0520:31:14.823,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22682,53.81,45,2535,2535,10251
2025/10/0520:31:14.873,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22682,53.81,45,2535,2535,10251
2025/10/0520:31:14.924,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22682,53.79,45,2535,2535,10251
2025/10/0520:31:14.974,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22682,53.79,45,2535,2535,10251
2025/10/0520:31:15.024,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22682,53.76,45,2535,2535,10251
2025/10/0520:31:15.074,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22682,53.76,45,2535,2535,10251
2025/10/0520:31:15.124,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22682,53.72,45,2535,2535,10251
