run,type,problemsize,subproblemsize,threads,apptime,comptime,tasks
642,empty,10000,1000,8,1.616102,1.084049,1000
643,void,10000,1000,3,2.639478,2.106794,1000
644,scorep,10000,500,9,1.592433,1.057658,4000
645,scorep,10000,1000,15,1.600437,1.066088,1000
646,void,10000,500,7,1.582370,1.049499,4000
647,scorep,10000,1000,14,1.615584,1.082228,1000
648,extrae,10000,2000,6,1.820415,1.279867,250
649,scorep,10000,500,16,1.594759,1.061579,4000
65,oot,10000,250,13,1.538837,1.008589,16000
650,tikki,10000,250,3,2.736154,2.203296,16000
651,extrae,10000,1000,2,3.715209,3.174975,1000
652,void,10000,2000,11,1.631871,1.099151,250
653,tikki,10000,250,2,3.768251,3.235957,16000
654,scorep,10000,250,6,1.663429,1.130359,16000
655,printf,10000,500,5,1.809030,1.276086,4000
656,tikki,10000,250,16,1.617034,1.079357,16000
657,void,10000,500,1,7.354948,6.820127,4000
658,printf,10000,250,5,1.862403,1.328842,16000
659,printf,10000,250,15,1.545333,1.013600,16000
66,oot,10000,250,16,1.556168,1.022882,16000
660,tikki,10000,1000,12,1.648507,1.114761,1000
661,void,10000,1000,5,1.851071,1.314993,1000
662,void,10000,1000,11,1.607304,1.071855,1000
663,void,10000,250,1,6.412754,5.881179,16000
664,extrae,10000,1000,7,1.636604,1.101454,1000
665,void,10000,2000,10,1.653009,1.122162,250
666,empty,10000,2000,11,1.647497,1.112765,250
667,void,10000,500,11,1.602394,1.069641,4000
668,scorep,10000,1000,4,2.131523,1.594637,1000
669,tikki,10000,250,4,2.226037,1.695244,16000
67,extrae,10000,2000,7,1.697282,1.164233,250
670,tikki,10000,500,9,1.618474,1.089271,4000
671,oot,10000,2000,6,1.760182,1.228059,250
672,void,10000,250,15,1.553240,1.020829,16000
673,oot,10000,250,1,7.399599,6.869176,16000
674,printf,10000,2000,3,2.703662,2.171900,250
675,scorep,10000,250,2,4.000504,3.464383,16000
676,empty,10000,2000,8,1.636954,1.106524,250
677,tikki,10000,2000,2,3.890414,3.357088,250
678,scorep,10000,500,3,2.694982,2.162199,4000
679,empty,10000,250,2,3.755473,3.221612,16000
68,oot,10000,2000,13,1.635280,1.106208,250
680,void,10000,500,2,3.635010,3.104740,4000
681,oot,10000,1000,9,1.607872,1.074532,1000
682,void,10000,1000,13,1.587321,1.052848,1000
683,printf,10000,250,10,1.531339,0.999712,16000
684,void,10000,250,11,1.534987,1.004683,16000
685,oot,10000,1000,13,1.586255,1.055287,1000
686,empty,10000,250,16,1.574753,1.038537,16000
687,tikki,10000,1000,4,2.184331,1.651783,1000
688,extrae,10000,2000,11,1.685736,1.151228,250
689,printf,10000,500,15,1.600572,1.070089,4000
69,scorep,10000,1000,8,1.615968,1.082603,1000
690,oot,10000,250,9,1.529804,0.996471,16000
691,empty,10000,250,13,1.528644,0.993122,16000
692,scorep,10000,1000,7,1.618740,1.078691,1000
693,scorep,10000,250,13,1.558632,1.021889,16000
694,empty,10000,1000,9,1.596960,1.065332,1000
695,tikki,10000,1000,8,1.652570,1.118876,1000
696,void,10000,500,4,2.141259,1.611620,4000
697,extrae,10000,2000,13,1.670377,1.138625,250
698,tikki,10000,500,16,1.656960,1.124903,4000
699,printf,10000,500,11,1.600707,1.067104,4000
7,oot,10000,1000,8,1.611568,1.079547,1000
70,empty,10000,2000,4,2.219114,1.688484,250
700,void,10000,250,7,1.568325,1.033120,16000
701,extrae,10000,250,13,1.581861,1.049292,16000
702,oot,10000,2000,4,2.202801,1.671198,250
703,extrae,10000,500,10,1.616328,1.081327,4000
704,scorep,10000,2000,15,1.647517,1.111826,250
705,void,10000,500,10,1.605180,1.070217,4000
706,tikki,10000,2000,11,1.703601,1.172862,250
707,oot,10000,250,11,1.544804,1.008023,16000
708,empty,10000,1000,11,1.602411,1.066121,1000
709,oot,10000,1000,2,3.735118,3.201380,1000
71,scorep,10000,1000,11,1.622721,1.087950,1000
710,oot,10000,250,5,1.857838,1.325704,16000
711,scorep,10000,250,5,1.868677,1.328031,16000
712,tikki,10000,1000,2,3.710172,3.174273,1000
713,printf,10000,500,2,3.644338,3.113009,4000
714,oot,10000,1000,11,1.595256,1.062036,1000
715,scorep,10000,1000,5,1.902310,1.369847,1000
716,void,10000,250,16,1.552737,1.020856,16000
717,oot,10000,250,16,1.554222,1.020535,16000
718,extrae,10000,250,16,1.619636,1.089312,16000
719,extrae,10000,250,2,3.943588,3.405683,16000
72,empty,10000,500,1,7.329803,6.798119,4000
720,oot,10000,1000,6,1.682634,1.145967,1000
721,tikki,10000,250,6,1.687459,1.156797,16000
722,empty,10000,2000,3,2.645856,2.117316,250
723,oot,10000,250,14,1.548076,1.015946,16000
724,printf,10000,1000,6,1.682565,1.145636,1000
725,oot,10000,1000,7,1.617891,1.081728,1000
726,oot,10000,250,6,1.664084,1.127697,16000
727,tikki,10000,250,5,1.907886,1.371971,16000
728,printf,10000,500,10,1.602412,1.066624,4000
729,empty,10000,2000,5,1.937291,1.399699,250
73,empty,10000,2000,8,1.659336,1.129228,250
730,printf,10000,500,13,1.593380,1.058894,4000
731,void,10000,1000,6,1.675642,1.141544,1000
732,printf,10000,250,2,3.783993,3.251371,16000
733,printf,10000,2000,2,3.838412,3.301948,250
734,void,10000,250,5,1.865518,1.332588,16000
735,oot,10000,2000,10,1.658834,1.123813,250
736,oot,10000,2000,7,1.687479,1.151023,250
737,scorep,10000,250,15,1.560195,1.024307,16000
738,extrae,10000,500,7,1.600232,1.067215,4000
739,scorep,10000,2000,2,3.639119,3.105946,250
74,printf,10000,250,11,1.528199,0.995559,16000
740,empty,10000,500,3,2.614601,2.080918,4000
741,empty,10000,500,9,1.589145,1.058313,4000
742,scorep,10000,1000,2,3.772346,3.239981,1000
743,printf,10000,2000,10,1.658105,1.127812,250
744,void,10000,250,12,1.557757,1.022979,16000
745,empty,10000,250,4,2.151168,1.611847,16000
746,extrae,10000,500,13,1.648051,1.111376,4000
747,void,10000,500,16,1.605715,1.072041,4000
748,scorep,10000,1000,12,1.604824,1.068124,1000
749,tikki,10000,2000,3,2.727586,2.196690,250
75,tikki,10000,1000,11,1.648638,1.116326,1000
750,void,10000,2000,12,1.629423,1.097999,250
751,void,10000,500,15,1.596102,1.065799,4000
752,extrae,10000,250,4,2.250908,1.719233,16000
753,tikki,10000,1000,11,1.643614,1.112049,1000
754,void,10000,1000,8,1.599692,1.066649,1000
755,extrae,10000,2000,3,2.679026,2.147150,250
756,scorep,10000,1000,8,1.611729,1.075976,1000
757,void,10000,500,6,1.643610,1.110390,4000
758,empty,10000,2000,1,7.367953,6.833880,250
759,tikki,10000,250,1,7.931258,7.398436,16000
76,void,10000,1000,6,1.680402,1.147231,1000
760,printf,10000,250,16,1.564425,1.034358,16000
761,extrae,10000,250,6,1.734625,1.198535,16000
762,extrae,10000,2000,14,1.698184,1.155890,250
763,tikki,10000,1000,6,1.728438,1.198485,1000
764,tikki,10000,2000,14,1.676419,1.143730,250
765,tikki,10000,500,13,1.658838,1.124771,4000
766,void,10000,1000,12,1.581478,1.050719,1000
767,scorep,10000,1000,11,1.620811,1.083156,1000
