run,type,problemsize,subproblemsize,threads,apptime,comptime,tasks
1508,empty,2048,64,9,1.031753,0.861027,11440
1509,scorep,2048,128,4,1.812406,1.640095,1496
151,extrae,2048,128,18,0.713038,0.542153,1496
1510,printf,2048,64,17,0.655084,0.484661,11440
1511,extrae,2048,64,19,0.676468,0.506168,11440
1512,void,2048,192,18,0.712790,0.542613,385
1513,void,2048,64,16,0.680291,0.509547,11440
1514,extrae,2048,64,18,0.699047,0.528351,11440
1515,void,2048,128,19,0.633584,0.463276,1496
1516,tikki,2048,192,5,1.419510,1.248649,385
1517,printf,2048,64,10,0.968521,0.797810,11440
1518,extrae,2048,256,14,1.138176,0.967966,204
1519,oot,2048,192,6,1.234458,1.063697,385
152,tikki,2048,128,11,0.957677,0.786302,1496
1520,printf,2048,64,14,0.754971,0.584247,11440
1521,oot,2048,64,4,1.892460,1.722122,11440
1522,void,2048,64,1,6.808852,6.637015,11440
1523,empty,2048,192,5,1.359096,1.187691,385
1524,tikki,2048,64,17,0.707864,0.536156,11440
1525,tikki,2048,192,10,0.991239,0.820391,385
1526,empty,2048,192,4,1.576186,1.404938,385
1527,printf,2048,128,13,0.814519,0.642972,1496
1528,printf,2048,192,8,1.070413,0.899967,385
1529,void,2048,64,17,0.654294,0.483349,11440
153,printf,2048,128,20,0.626674,0.454673,1496
1530,printf,2048,192,5,1.382766,1.211973,385
1531,extrae,2048,192,14,0.866955,0.640115,385
1532,empty,2048,192,3,2.003434,1.832910,385
1533,printf,2048,128,9,1.036195,0.865493,1496
1534,printf,2048,192,9,0.992494,0.821305,385
1535,extrae,2048,64,5,1.626133,1.455998,11440
1536,oot,2048,128,20,0.627126,0.456789,1496
1537,tikki,2048,128,13,0.854283,0.682523,1496
1538,printf,2048,64,8,1.127077,0.956374,11440
1539,printf,2048,128,6,1.369377,1.198847,1496
154,extrae,2048,192,8,1.092519,0.921665,385
1540,printf,2048,192,16,0.737960,0.566976,385
1541,extrae,2048,192,10,0.967216,0.797454,385
1542,extrae,2048,192,1,5.437071,5.267110,385
1543,scorep,2048,64,3,2.437616,2.266858,11440
1544,tikki,2048,64,15,0.759236,0.588051,11440
1545,void,2048,128,12,0.854616,0.683934,1496
1546,empty,2048,128,5,1.560349,1.389354,1496
1547,oot,2048,64,13,0.816949,0.622335,11440
1548,extrae,2048,256,11,1.263075,1.093114,204
1549,extrae,2048,64,14,0.805828,0.635710,11440
155,empty,2048,128,13,0.827022,0.643739,1496
1550,void,2048,192,16,0.734909,0.563701,385
1551,extrae,2048,128,16,0.761985,0.592130,1496
1552,printf,2048,192,7,1.121115,0.949250,385
1553,void,2048,128,3,2.337159,2.166038,1496
1554,printf,2048,192,2,2.875302,2.704616,385
1555,scorep,2048,192,19,0.694137,0.522832,385
1556,printf,2048,256,15,1.079293,0.908849,204
1557,oot,2048,64,3,2.435459,2.265030,11440
1558,printf,2048,128,10,0.978501,0.807474,1496
1559,oot,2048,64,14,0.747252,0.575803,11440
156,printf,2048,64,6,1.407746,1.236731,11440
1560,tikki,2048,192,3,2.035034,1.864007,385
1561,scorep,2048,192,5,1.445016,1.217474,385
1562,void,2048,64,8,1.119993,0.949199,11440
1563,void,2048,192,10,0.939965,0.769113,385
1564,scorep,2048,128,13,0.817840,0.647297,1496
1565,tikki,2048,64,14,0.807517,0.636153,11440
1566,scorep,2048,256,6,1.639406,1.469009,204
1567,tikki,2048,64,16,0.734812,0.564386,11440
1568,extrae,2048,128,6,1.385714,1.215320,1496
1569,tikki,2048,128,14,0.822397,0.651855,1496
157,scorep,2048,192,13,0.823174,0.650885,385
1570,scorep,2048,192,18,0.702624,0.532018,385
1571,empty,2048,256,7,1.489698,1.318971,204
1572,empty,2048,128,15,0.744320,0.572741,1496
1573,empty,2048,192,16,0.736477,0.565929,385
1574,empty,2048,256,19,1.039337,0.868685,204
1575,tikki,2048,256,15,1.113872,0.943226,204
1576,scorep,2048,128,20,0.627408,0.456219,1496
1577,empty,2048,128,7,1.235027,1.064147,1496
1578,tikki,2048,192,6,1.275771,1.104879,385
1579,tikki,2048,64,4,1.925306,1.754629,11440
