run,type,problemsize,subproblemsize,threads,apptime,comptime,tasks
4171,empty,10000,500,5,1.399034,0.918826,4000
4172,empty,10000,1000,15,0.884309,0.405978,1000
4173,extrae,10000,2000,11,1.125663,0.654204,250
4174,empty,10000,500,17,0.848478,0.369360,4000
4175,printf,10000,2000,19,1.035880,0.555135,250
4176,extrae,10000,250,20,0.906252,0.436152,16000
4177,printf,10000,1000,4,1.597641,1.117699,1000
4178,printf,10000,1000,3,1.998622,1.518586,1000
4179,extrae,10000,1000,18,0.934674,0.461921,1000
418,tikki,10000,500,15,0.901015,0.421355,4000
4180,void,10000,1000,18,0.863474,0.384406,1000
4181,tikki,10000,1000,20,0.903494,0.425043,1000
4182,printf,10000,2000,2,2.704359,2.224185,250
4183,tikki,10000,1000,6,1.332357,0.860751,1000
4184,empty,10000,500,11,0.971604,0.490329,4000
4185,tikki,10000,250,4,1.683039,1.202965,16000
4186,tikki,10000,500,9,1.094981,0.614907,4000
4187,oot,10000,1000,16,0.872154,0.391948,1000
4188,scorep,10000,2000,19,1.035282,0.564418,250
4189,printf,10000,500,15,0.859945,0.381521,4000
419,tikki,10000,2000,12,1.120462,0.640923,250
4190,scorep,10000,1000,9,1.067864,0.595185,1000
4191,empty,10000,1000,3,2.031116,1.551654,1000
4192,printf,10000,2000,8,1.198653,0.720022,250
4193,printf,10000,250,15,0.854782,0.377507,16000
4194,empty,10000,2000,1,5.644716,5.167541,250
4195,scorep,10000,500,18,0.838502,0.367594,4000
4196,extrae,10000,500,6,1.295696,0.822461,4000
4197,scorep,10000,2000,17,1.023778,0.554200,250
4198,scorep,10000,500,10,1.003112,0.528697,4000
4199,empty,10000,500,14,0.880280,0.400662,4000
42,tikki,10000,250,16,0.884442,0.404714,16000
420,oot,10000,500,11,0.967115,0.490224,4000
4200,oot,10000,1000,17,0.863812,0.384891,1000
4201,empty,10000,2000,11,1.083713,0.605664,250
4202,empty,10000,500,9,1.052020,0.573330,4000
4203,void,10000,250,17,0.834407,0.355802,16000
4204,void,10000,1000,15,0.875900,0.397908,1000
4205,printf,10000,1000,13,0.918095,0.442718,1000
4206,tikki,10000,250,15,0.899007,0.420478,16000
4207,scorep,10000,2000,5,1.462029,0.992251,250
4208,void,10000,2000,5,1.475293,0.995492,250
4209,extrae,10000,2000,10,1.157358,0.683603,250
421,printf,10000,2000,11,1.083826,0.605671,250
4210,printf,10000,500,12,0.936268,0.456735,4000
4211,tikki,10000,500,15,0.912412,0.432907,4000
4212,void,10000,2000,6,1.371959,0.892822,250
4213,scorep,10000,1000,5,1.415264,0.938108,1000
4214,scorep,10000,500,7,1.181792,0.705063,4000
4215,extrae,10000,250,16,0.914909,0.444826,16000
4216,scorep,10000,1000,19,0.856048,0.388526,1000
4217,empty,10000,2000,8,1.202719,0.723914,250
4218,tikki,10000,2000,5,1.499446,1.019537,250
4219,empty,10000,250,1,5.640399,5.162852,16000
422,extrae,10000,500,4,1.591583,1.119860,4000
4220,oot,10000,2000,1,5.640734,5.161708,250
4221,empty,10000,2000,4,1.641772,1.161124,250
4222,scorep,10000,250,16,0.833495,0.362680,16000
4223,scorep,10000,250,18,0.824406,0.353362,16000
4224,oot,10000,2000,12,1.066187,0.589411,250
4225,printf,10000,2000,15,1.036110,0.557975,250
4226,tikki,10000,500,1,6.035647,5.557165,4000
4227,printf,10000,500,3,1.953814,1.473866,4000
4228,printf,10000,1000,19,0.859941,0.382138,1000
4229,empty,10000,250,16,0.845902,0.366035,16000
423,scorep,10000,250,16,0.844444,0.369093,16000
4230,scorep,10000,500,16,0.838726,0.370287,4000
4231,oot,10000,1000,14,0.907833,0.428272,1000
4232,empty,10000,1000,19,0.859720,0.381857,1000
4233,void,10000,250,8,1.120457,0.638211,16000
4234,extrae,10000,2000,6,1.355075,0.880675,250
4235,void,10000,1000,10,1.027806,0.548049,1000
