State, th3, TASK, 0.038154, 0.038541, 0.000386, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.038542, 0.038928, 0.000386, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.038930, 0.039171, 0.000242, 0.000000, lapack_dlarfb
State, th3, TASK, 0.039178, 0.039589, 0.000411, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.039592, 0.039992, 0.000400, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.039994, 0.040398, 0.000404, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.040400, 0.040822, 0.000421, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.040824, 0.041229, 0.000405, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.041231, 0.041630, 0.000398, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.041632, 0.042035, 0.000403, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.042037, 0.042448, 0.000411, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.042452, 0.042866, 0.000414, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.042868, 0.043276, 0.000408, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.043278, 0.043665, 0.000387, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.043667, 0.044057, 0.000390, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.044060, 0.044469, 0.000409, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.044471, 0.044904, 0.000432, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.044906, 0.045150, 0.000243, 0.000000, lapack_dlarfb
State, th3, TASK, 0.045152, 0.045543, 0.000391, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.045547, 0.045934, 0.000387, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.045937, 0.046356, 0.000419, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.046359, 0.046760, 0.000401, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.046762, 0.047168, 0.000406, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.047170, 0.047561, 0.000391, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.047563, 0.047951, 0.000387, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.047962, 0.048365, 0.000403, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.048423, 0.048835, 0.000412, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.048837, 0.049218, 0.000381, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.049223, 0.049607, 0.000385, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.049610, 0.050015, 0.000405, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.050019, 0.050421, 0.000401, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.050423, 0.050828, 0.000405, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.050830, 0.051244, 0.000414, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.051246, 0.051638, 0.000392, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.051640, 0.052011, 0.000372, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.052016, 0.052413, 0.000397, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.052417, 0.052867, 0.000450, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.052869, 0.053258, 0.000389, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.053260, 0.053662, 0.000402, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.053664, 0.054070, 0.000406, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.054073, 0.054467, 0.000394, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.054469, 0.054863, 0.000394, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.054865, 0.055261, 0.000396, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.055263, 0.055651, 0.000388, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.055653, 0.056042, 0.000389, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.056045, 0.056446, 0.000401, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.056449, 0.056868, 0.000419, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.056870, 0.057265, 0.000395, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.057267, 0.057659, 0.000392, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.057662, 0.058057, 0.000396, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.058060, 0.058455, 0.000396, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.058460, 0.058851, 0.000391, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.058853, 0.059243, 0.000390, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.059246, 0.059637, 0.000391, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.059639, 0.060042, 0.000403, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.060045, 0.060438, 0.000393, 0.000000, lapack_dtpmqrt
