run,type,problemsize,subproblemsize,threads,apptime,comptime,tasks
1953,printf,10000,2000,7,1.342948,0.798623,250
1954,extrae,10000,2000,3,2.093812,1.552338,250
1955,printf,10000,2000,15,1.203370,0.660809,250
1956,extrae,10000,250,13,1.147144,0.604402,16000
1957,empty,10000,2000,5,1.520968,0.974854,250
1958,tikki,10000,250,9,1.173658,0.629737,16000
1959,extrae,10000,1000,14,1.158958,0.616489,1000
196,printf,10000,2000,18,1.238914,0.692137,250
1960,printf,10000,1000,13,1.112720,0.566634,1000
1961,empty,10000,1000,8,1.173329,0.628811,1000
1962,printf,10000,250,17,1.111398,0.564489,16000
1963,tikki,10000,1000,10,1.172055,0.627493,1000
1964,extrae,10000,2000,19,1.300567,0.753243,250
1965,printf,10000,1000,22,1.133785,0.588237,1000
1966,scorep,10000,250,4,1.691435,1.144965,16000
1967,scorep,10000,500,2,2.967630,2.418770,4000
1968,scorep,10000,500,14,1.121393,0.568025,4000
1969,extrae,10000,1000,21,1.198625,0.650981,1000
197,void,10000,2000,15,1.198758,0.654443,250
1970,extrae,10000,2000,20,1.314636,0.768742,250
1971,printf,10000,1000,2,2.865031,2.322469,1000
1972,scorep,10000,2000,15,1.210338,0.660680,250
1973,oot,10000,2000,24,1.262737,0.715884,250
1974,scorep,10000,250,1,4.832461,4.287100,16000
1975,printf,10000,250,13,1.100149,0.561444,16000
1976,tikki,10000,1000,22,1.181825,0.626692,1000
1977,scorep,10000,250,6,1.364427,0.816505,16000
1978,oot,10000,250,24,1.117412,0.573023,16000
1979,tikki,10000,1000,1,5.626441,5.081071,1000
198,void,10000,1000,13,1.111393,0.565410,1000
1980,tikki,10000,1000,18,1.172874,0.630865,1000
1981,empty,10000,500,9,1.131932,0.587908,4000
1982,empty,10000,500,17,1.111874,0.561958,4000
1983,empty,10000,1000,17,1.125310,0.573438,1000
1984,extrae,10000,500,1,4.927443,4.379974,4000
1985,extrae,10000,250,2,3.106670,2.566582,16000
1986,scorep,10000,500,5,1.501165,0.950147,4000
1987,empty,10000,250,11,1.103709,0.555170,16000
1988,void,10000,250,9,1.120598,0.573176,16000
1989,extrae,10000,1000,17,1.181613,0.636892,1000
199,oot,10000,2000,6,1.398201,0.850017,250
1990,oot,10000,500,17,1.107301,0.560580,4000
1991,void,10000,500,15,1.107678,0.560555,4000
1992,oot,10000,1000,4,1.677013,1.130740,1000
1993,scorep,10000,500,21,1.112109,0.563529,4000
1994,extrae,10000,250,7,1.324405,0.777357,16000
1995,empty,10000,2000,18,1.234890,0.691454,250
1996,void,10000,1000,8,1.187257,0.639064,1000
1997,extrae,10000,250,23,1.196253,0.652947,16000
1998,printf,10000,2000,16,1.212576,0.667340,250
1999,void,10000,500,24,1.111462,0.565496,4000
2,tikki,10000,2000,7,1.358643,0.807843,250
20,void,10000,500,7,1.266186,0.713147,4000
