State, th9, TASK, 0.085039, 0.085801, 0.000762, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.085804, 0.086563, 0.000759, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.086567, 0.087337, 0.000770, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.087340, 0.088103, 0.000763, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.088106, 0.088873, 0.000766, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.088876, 0.089633, 0.000756, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.089636, 0.090400, 0.000763, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.090403, 0.091166, 0.000763, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.091169, 0.091924, 0.000754, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.091927, 0.092682, 0.000755, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.092686, 0.093439, 0.000752, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.093442, 0.094214, 0.000772, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.094221, 0.094769, 0.000548, 0.000000, lapack_dtpqrt
State, th9, TASK, 0.094781, 0.095562, 0.000781, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.095565, 0.096325, 0.000760, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.096328, 0.097096, 0.000767, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.097099, 0.097868, 0.000769, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.097872, 0.098628, 0.000756, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.098631, 0.099390, 0.000759, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.099393, 0.099937, 0.000545, 0.000000, lapack_dtpqrt
State, th9, TASK, 0.099951, 0.100718, 0.000767, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.100721, 0.101466, 0.000745, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.101469, 0.102203, 0.000734, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.102206, 0.102958, 0.000752, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.102961, 0.103710, 0.000749, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.103713, 0.104455, 0.000742, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.104459, 0.105199, 0.000741, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.105202, 0.105953, 0.000751, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.105957, 0.106709, 0.000752, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.106712, 0.107470, 0.000757, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.107473, 0.108233, 0.000760, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.108237, 0.108984, 0.000748, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.108993, 0.109740, 0.000746, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.109743, 0.110505, 0.000762, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.110509, 0.111280, 0.000771, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.111284, 0.112030, 0.000746, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.112033, 0.112779, 0.000746, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.112782, 0.113554, 0.000772, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.113557, 0.114309, 0.000751, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.114312, 0.115079, 0.000767, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.115083, 0.115862, 0.000780, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.115866, 0.116624, 0.000758, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.116627, 0.117378, 0.000750, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.117381, 0.118121, 0.000740, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.118125, 0.118871, 0.000746, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.118882, 0.119626, 0.000744, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.119630, 0.120371, 0.000741, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.120377, 0.121156, 0.000779, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.121161, 0.121926, 0.000765, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.121930, 0.122685, 0.000755, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.122688, 0.123483, 0.000795, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.123486, 0.124247, 0.000760, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.124250, 0.125007, 0.000757, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.125010, 0.125766, 0.000756, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.125771, 0.126559, 0.000788, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.126563, 0.127327, 0.000765, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.127331, 0.128086, 0.000755, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.128089, 0.128843, 0.000754, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.128846, 0.129597, 0.000751, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.129601, 0.130361, 0.000760, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.130364, 0.131126, 0.000762, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.131130, 0.131887, 0.000757, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.131891, 0.132646, 0.000755, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.132649, 0.133407, 0.000758, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.133410, 0.134167, 0.000757, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.134170, 0.134937, 0.000767, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.134940, 0.135699, 0.000759, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.135702, 0.136467, 0.000765, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.136470, 0.137229, 0.000759, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.137233, 0.137995, 0.000762, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.137999, 0.138755, 0.000756, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.138758, 0.139526, 0.000768, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.139529, 0.140291, 0.000762, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.140294, 0.141057, 0.000763, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.141060, 0.141822, 0.000762, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.141826, 0.142593, 0.000767, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.142596, 0.143368, 0.000772, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.143372, 0.144140, 0.000768, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.144144, 0.144909, 0.000766, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.144913, 0.145673, 0.000760, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.145676, 0.146438, 0.000762, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.146441, 0.147222, 0.000781, 0.000000, lapack_dtpmqrt
