timestamp, index, name, driver_version, utilization.gpu [%], memory.total [MiB], memory.used [MiB], power.draw [W], temperature.gpu, clocks.current.graphics [MHz], clocks.current.sm [MHz], clocks.current.memory [MHz]
2025/10/05 04:05:52.890, 0, NVIDIA GeForce RTX 4090, 550.54.15, 0 %, 24564 MiB, 22677 MiB, 45.27 W, 40, 2610 MHz, 2610 MHz, 10251 MHz
2025/10/05 04:05:52.941, 0, NVIDIA GeForce RTX 4090, 550.54.15, 0 %, 24564 MiB, 22677 MiB, 45.27 W, 40, 2610 MHz, 2610 MHz, 10251 MHz
2025/10/05 04:05:52.993, 0, NVIDIA GeForce RTX 4090, 550.54.15, 0 %, 24564 MiB, 22677 MiB, 45.27 W, 40, 2610 MHz, 2610 MHz, 10251 MHz
2025/10/05 04:05:53.044, 0, NVIDIA GeForce RTX 4090, 550.54.15, 0 %, 24564 MiB, 22677 MiB, 45.27 W, 40, 2610 MHz, 2610 MHz, 10251 MHz
2025/10/05 04:05:53.096, 0, NVIDIA GeForce RTX 4090, 550.54.15, 0 %, 24564 MiB, 22677 MiB, 45.27 W, 40, 2610 MHz, 2610 MHz, 10251 MHz
2025/10/05 04:05:53.147, 0, NVIDIA GeForce RTX 4090, 550.54.15, 0 %, 24564 MiB, 22677 MiB, 45.27 W, 40, 2610 MHz, 2610 MHz, 10251 MHz
2025/10/05 04:05:53.199, 0, NVIDIA GeForce RTX 4090, 550.54.15, 0 %, 24564 MiB, 22677 MiB, 45.27 W, 40, 2610 MHz, 2610 MHz, 10251 MHz
2025/10/05 04:05:53.250, 0, NVIDIA GeForce RTX 4090, 550.54.15, 0 %, 24564 MiB, 22677 MiB, 45.27 W, 40, 2610 MHz, 2610 MHz, 10251 MHz
2025/10/05 04:05:53.301, 0, NVIDIA GeForce RTX 4090, 550.54.15, 0 %, 24564 MiB, 22677 MiB, 45.27 W, 40, 2610 MHz, 2610 MHz, 10251 MHz
2025/10/05 04:05:53.353, 0, NVIDIA GeForce RTX 4090, 550.54.15, 0 %, 24564 MiB, 22677 MiB, 45.27 W, 40, 2610 MHz, 2610 MHz, 10251 MHz
2025/10/05 04:05:53.404, 0, NVIDIA GeForce RTX 4090, 550.54.15, 0 %, 24564 MiB, 22677 MiB, 45.27 W, 40, 2610 MHz, 2610 MHz, 10251 MHz
2025/10/05 04:05:53.456, 0, NVIDIA GeForce RTX 4090, 550.54.15, 0 %, 24564 MiB, 22677 MiB, 45.27 W, 40, 2610 MHz, 2610 MHz, 10251 MHz
2025/10/05 04:05:53.507, 0, NVIDIA GeForce RTX 4090, 550.54.15, 0 %, 24564 MiB, 22677 MiB, 45.27 W, 40, 2610 MHz, 2610 MHz, 10251 MHz
2025/10/05 04:05:53.559, 0, NVIDIA GeForce RTX 4090, 550.54.15, 0 %, 24564 MiB, 22677 MiB, 45.27 W, 40, 2610 MHz, 2610 MHz, 10251 MHz
2025/10/05 04:05:53.610, 0, NVIDIA GeForce RTX 4090, 550.54.15, 0 %, 24564 MiB, 22677 MiB, 45.27 W, 40, 2610 MHz, 2610 MHz, 10251 MHz
2025/10/05 04:05:53.662, 0, NVIDIA GeForce RTX 4090, 550.54.15, 0 %, 24564 MiB, 22677 MiB, 45.52 W, 40, 2610 MHz, 2610 MHz, 10251 MHz
2025/10/05 04:05:53.713, 0, NVIDIA GeForce RTX 4090, 550.54.15, 0 %, 24564 MiB, 22677 MiB, 45.52 W, 40, 2610 MHz, 2610 MHz, 10251 MHz
2025/10/05 04:05:53.765, 0, NVIDIA GeForce RTX 4090, 550.54.15, 0 %, 24564 MiB, 22677 MiB, 45.78 W, 40, 2610 MHz, 2610 MHz, 10251 MHz
2025/10/05 04:05:53.816, 0, NVIDIA GeForce RTX 4090, 550.54.15, 0 %, 24564 MiB, 22677 MiB, 45.80 W, 40, 2610 MHz, 2610 MHz, 10251 MHz
2025/10/05 04:05:53.868, 0, NVIDIA GeForce RTX 4090, 550.54.15, 0 %, 24564 MiB, 22677 MiB, 45.80 W, 40, 2610 MHz, 2610 MHz, 10251 MHz
