timestamp, index, name, driver_version, utilization.gpu [%], memory.total [MiB], memory.used [MiB], power.draw [W], temperature.gpu, clocks.current.graphics [MHz], clocks.current.sm [MHz], clocks.current.memory [MHz]
2025/10/05 04:43:37.105, 0, NVIDIA GeForce RTX 4090, 545.23.08, 4 %, 24564 MiB, 22774 MiB, 118.22 W, 44, 2805 MHz, 2805 MHz, 10251 MHz
2025/10/05 04:43:37.155, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22774 MiB, 118.22 W, 44, 2805 MHz, 2805 MHz, 10251 MHz
2025/10/05 04:43:37.205, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22774 MiB, 117.71 W, 44, 2805 MHz, 2805 MHz, 10251 MHz
2025/10/05 04:43:37.256, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22774 MiB, 117.71 W, 44, 2805 MHz, 2805 MHz, 10251 MHz
2025/10/05 04:43:37.306, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22774 MiB, 99.00 W, 44, 2805 MHz, 2805 MHz, 10251 MHz
2025/10/05 04:43:37.356, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22774 MiB, 99.00 W, 44, 2805 MHz, 2805 MHz, 10251 MHz
2025/10/05 04:43:37.407, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22774 MiB, 72.67 W, 44, 2805 MHz, 2805 MHz, 10251 MHz
2025/10/05 04:43:37.457, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22774 MiB, 72.67 W, 46, 2805 MHz, 2805 MHz, 10251 MHz
2025/10/05 04:43:37.507, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22774 MiB, 71.49 W, 50, 2805 MHz, 2805 MHz, 10251 MHz
2025/10/05 04:43:37.557, 0, NVIDIA GeForce RTX 4090, 545.23.08, 15 %, 24564 MiB, 22774 MiB, 71.49 W, 52, 2805 MHz, 2805 MHz, 10251 MHz
2025/10/05 04:43:37.607, 0, NVIDIA GeForce RTX 4090, 545.23.08, 15 %, 24564 MiB, 22774 MiB, 97.21 W, 51, 2805 MHz, 2805 MHz, 10251 MHz
2025/10/05 04:43:37.658, 0, NVIDIA GeForce RTX 4090, 545.23.08, 15 %, 24564 MiB, 22774 MiB, 97.21 W, 48, 2805 MHz, 2805 MHz, 10251 MHz
2025/10/05 04:43:37.708, 0, NVIDIA GeForce RTX 4090, 545.23.08, 15 %, 24564 MiB, 22774 MiB, 117.42 W, 47, 2805 MHz, 2805 MHz, 10251 MHz
2025/10/05 04:43:37.758, 0, NVIDIA GeForce RTX 4090, 545.23.08, 91 %, 24564 MiB, 22774 MiB, 117.42 W, 46, 2805 MHz, 2805 MHz, 10251 MHz
2025/10/05 04:43:37.809, 0, NVIDIA GeForce RTX 4090, 545.23.08, 91 %, 24564 MiB, 22774 MiB, 117.47 W, 45, 2805 MHz, 2805 MHz, 10251 MHz
2025/10/05 04:43:37.859, 0, NVIDIA GeForce RTX 4090, 545.23.08, 91 %, 24564 MiB, 22774 MiB, 117.47 W, 45, 2805 MHz, 2805 MHz, 10251 MHz
2025/10/05 04:43:37.909, 0, NVIDIA GeForce RTX 4090, 545.23.08, 91 %, 24564 MiB, 22774 MiB, 117.47 W, 45, 2805 MHz, 2805 MHz, 10251 MHz
2025/10/05 04:43:37.959, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22774 MiB, 117.47 W, 45, 2805 MHz, 2805 MHz, 10251 MHz
2025/10/05 04:43:38.010, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22774 MiB, 117.41 W, 45, 2805 MHz, 2805 MHz, 10251 MHz
2025/10/05 04:43:38.060, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22774 MiB, 117.41 W, 45, 2805 MHz, 2805 MHz, 10251 MHz
2025/10/05 04:43:38.110, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22774 MiB, 117.40 W, 44, 2805 MHz, 2805 MHz, 10251 MHz
2025/10/05 04:43:38.160, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22774 MiB, 117.40 W, 44, 2805 MHz, 2805 MHz, 10251 MHz
2025/10/05 04:43:38.210, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22774 MiB, 117.39 W, 44, 2805 MHz, 2805 MHz, 10251 MHz
2025/10/05 04:43:38.261, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22774 MiB, 117.39 W, 44, 2805 MHz, 2805 MHz, 10251 MHz
2025/10/05 04:43:38.311, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22774 MiB, 117.42 W, 44, 2805 MHz, 2805 MHz, 10251 MHz
2025/10/05 04:43:38.361, 0, NVIDIA GeForce RTX 4090, 545.23.08, 4 %, 24564 MiB, 22774 MiB, 117.42 W, 44, 2805 MHz, 2805 MHz, 10251 MHz
