timestamp,index,name,driver_version,utilization.gpu[],memory.total[],memory.used[],power.draw[],temperature.gpu,clocks.current.graphics[],clocks.current.sm[],clocks.current.memory[]
2025/10/0509:19:50.630,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,57.27,27,2580,2580,10251
2025/10/0509:19:50.681,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,57.27,27,2580,2580,10251
2025/10/0509:19:50.731,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,57.27,27,2580,2580,10251
2025/10/0509:19:50.781,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,57.27,27,2580,2580,10251
2025/10/0509:19:50.831,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,57.27,27,2580,2580,10251
2025/10/0509:19:50.881,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,57.27,27,2580,2580,10251
2025/10/0509:19:50.931,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,57.27,27,2580,2580,10251
2025/10/0509:19:50.982,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,57.27,27,2580,2580,10251
2025/10/0509:19:51.032,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,57.27,27,2580,2580,10251
2025/10/0509:19:51.082,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,57.27,27,2580,2580,10251
2025/10/0509:19:51.132,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,57.36,27,2580,2580,10251
2025/10/0509:19:51.182,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,57.36,27,2580,2580,10251
2025/10/0509:19:51.232,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,57.36,27,2580,2580,10251
2025/10/0509:19:51.282,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,57.36,27,2580,2580,10251
2025/10/0509:19:51.333,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,57.36,27,2580,2580,10251
2025/10/0509:19:51.383,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,57.36,27,2580,2580,10251
2025/10/0509:19:51.433,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,57.53,27,2580,2580,10251
2025/10/0509:19:51.483,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,57.53,27,2580,2580,10251
2025/10/0509:19:51.533,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,57.56,27,2580,2580,10251
