State, th9, TASK, 0.112042, 0.113069, 0.001027, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.113096, 0.114033, 0.000937, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.114071, 0.114980, 0.000908, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.115005, 0.115918, 0.000913, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.115950, 0.116870, 0.000921, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.116899, 0.117845, 0.000946, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.117867, 0.118824, 0.000957, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.118845, 0.119779, 0.000934, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.119809, 0.120742, 0.000933, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.120770, 0.121713, 0.000943, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.121730, 0.122676, 0.000946, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.122699, 0.123628, 0.000929, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.123662, 0.124574, 0.000912, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.124596, 0.125498, 0.000901, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.125513, 0.126419, 0.000906, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.126438, 0.127373, 0.000935, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.127400, 0.128298, 0.000898, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.128318, 0.129241, 0.000923, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.129268, 0.130172, 0.000903, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.130206, 0.131148, 0.000942, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.131185, 0.132084, 0.000899, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.132102, 0.133020, 0.000918, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.133046, 0.133927, 0.000881, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.133948, 0.134779, 0.000831, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.134811, 0.135667, 0.000855, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.135688, 0.136528, 0.000841, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.136532, 0.137355, 0.000823, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.137369, 0.138204, 0.000835, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.138220, 0.139064, 0.000844, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.139082, 0.139944, 0.000861, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.139966, 0.140851, 0.000885, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.140874, 0.141728, 0.000854, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.141756, 0.142628, 0.000872, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.142650, 0.143574, 0.000924, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.143643, 0.144562, 0.000918, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.144580, 0.145463, 0.000883, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.145496, 0.146435, 0.000939, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.146454, 0.147352, 0.000898, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.147369, 0.148188, 0.000818, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.148206, 0.149081, 0.000875, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.149112, 0.150025, 0.000913, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.150036, 0.150941, 0.000905, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.150964, 0.151863, 0.000899, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.151880, 0.152803, 0.000923, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.152816, 0.154177, 0.001362, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.154205, 0.155165, 0.000960, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.155195, 0.156115, 0.000920, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.156150, 0.157118, 0.000968, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.157146, 0.158106, 0.000961, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.158142, 0.159158, 0.001016, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.159192, 0.160221, 0.001029, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.160254, 0.161285, 0.001030, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.161332, 0.162325, 0.000993, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.162351, 0.163319, 0.000968, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.163340, 0.164288, 0.000948, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.164329, 0.165374, 0.001045, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.165397, 0.166432, 0.001034, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.166459, 0.167448, 0.000989, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.167478, 0.168414, 0.000936, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.168458, 0.169424, 0.000966, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.169461, 0.170474, 0.001013, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.170504, 0.171950, 0.001446, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.171980, 0.172925, 0.000945, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.172962, 0.173964, 0.001003, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.173984, 0.175040, 0.001056, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.175061, 0.176035, 0.000975, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.176056, 0.177046, 0.000990, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.177083, 0.178003, 0.000921, 0.000000, gauss-seidel-smoothing-formula
